"sex","age","numgiven","sex1","talkto1","sex2","talkto2","sex3","talkto3","sex4","talkto4","sex5","talkto5","close12","close13","close14","close15","close23","close24","close25","close34","close35","close45","mntlhlth","health1"
"male","57","6","male","almost daily","female","almost daily","male","once a week","male","almost daily","male","almost daily","especially close","know each other","know each other","especially close","know each other","know each other","especially close","total strangers","total strangers","total strangers","1","good"
"female","54","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","30","3","female","almost daily","female","almost daily","male","almost daily",NA,NA,NA,NA,"know each other","especially close",NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA
"female","32","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fair"
"female","40","3","female","almost daily","female","once a week","female","once a week",NA,NA,NA,NA,"especially close","total strangers",NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA
"male","29","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","excellent"
"female","56","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","good"
"male","20","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","29","2","male","once a week","male","once a week",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"female","22","3","female","almost daily","female","once a week","male","once a week",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"7",NA
"male","65","4","female","almost daily","female","almost daily","male","almost daily","male","almost daily",NA,NA,"know each other","know each other","know each other",NA,"know each other","know each other",NA,"know each other",NA,NA,"2","very good"
